feature_id,canonical_token,valid_contexts,evaluated_contexts,total_contexts,passed,failure_reason
0,,0,0,44,0,only 44 contexts
1,whether,2,24,45,0,insufficient matching contexts
2,is,24,24,45,1,
3,arn,1,24,45,0,insufficient matching contexts
4,,0,0,30,0,only 30 contexts
5,,0,0,44,0,only 44 contexts
6,,0,0,44,0,only 44 contexts
7,,0,0,44,0,only 44 contexts
8,the,4,24,45,0,insufficient matching contexts
9,,0,0,39,0,only 39 contexts
10,,0,0,42,0,only 42 contexts
11,,0,0,40,0,only 40 contexts
12,,0,0,42,0,only 42 contexts
13,ii,4,24,45,0,insufficient matching contexts
14,kr,2,24,45,0,insufficient matching contexts
15,,0,0,42,0,only 42 contexts
16,,0,0,41,0,only 41 contexts
17,,0,24,45,0,insufficient matching contexts
18,,0,24,45,0,insufficient matching contexts
19,acting,6,24,45,0,insufficient matching contexts
20,,0,0,40,0,only 40 contexts
21,,0,24,45,0,insufficient matching contexts
22,so,24,24,45,1,
23,newvalue,8,24,45,0,insufficient matching contexts
24,action,2,24,45,0,insufficient matching contexts
25,x,2,24,45,0,insufficient matching contexts
26,can,10,24,45,0,insufficient matching contexts
27,uniform,24,24,45,1,
28,the,16,24,45,0,insufficient matching contexts
29,,0,0,42,0,only 42 contexts
30,lying,4,24,45,0,insufficient matching contexts
31,,0,24,45,0,insufficient matching contexts
32,,0,0,40,0,only 40 contexts
33,,0,0,39,0,only 39 contexts
34,try,2,24,45,0,insufficient matching contexts
35,judge,24,24,45,1,
36,,0,0,43,0,only 43 contexts
37,one,24,24,45,1,
38,,0,0,44,0,only 44 contexts
39,ers,3,24,45,0,insufficient matching contexts
40,,0,0,42,0,only 42 contexts
41,,0,0,44,0,only 44 contexts
42,,0,0,40,0,only 40 contexts
43,,0,0,43,0,only 43 contexts
44,e,1,24,45,0,insufficient matching contexts
45,,0,0,40,0,only 40 contexts
46,pc,2,24,45,0,insufficient matching contexts
47,outer,24,24,45,1,
48,,0,0,38,0,only 38 contexts
49,,0,24,45,0,insufficient matching contexts
50,kernel,2,24,45,0,insufficient matching contexts
51,println,1,24,45,0,insufficient matching contexts
52,,0,24,45,0,insufficient matching contexts
53,quart,2,24,45,0,insufficient matching contexts
54,,0,24,45,0,insufficient matching contexts
55,,0,0,37,0,only 37 contexts
56,the,24,24,45,1,
57,,0,0,41,0,only 41 contexts
58,ot,3,24,45,0,insufficient matching contexts
59,,0,0,43,0,only 43 contexts
60,,0,24,45,0,insufficient matching contexts
61,,0,24,45,0,insufficient matching contexts
62,to,9,24,45,0,insufficient matching contexts
63,flags,2,24,45,0,insufficient matching contexts
64,,0,0,38,0,only 38 contexts
65,,0,0,39,0,only 39 contexts
66,,0,0,41,0,only 41 contexts
67,of,17,24,45,0,insufficient matching contexts
68,,0,0,37,0,only 37 contexts
69,found,24,24,45,1,
70,part,3,24,45,0,insufficient matching contexts
71,and,1,24,45,0,insufficient matching contexts
72,from,24,24,45,1,
73,,0,0,25,0,only 25 contexts
74,,0,0,42,0,only 42 contexts
75,,0,24,45,0,insufficient matching contexts
76,,0,0,29,0,only 29 contexts
77,,0,24,45,0,insufficient matching contexts
78,,0,24,45,0,insufficient matching contexts
79,reversed,4,24,45,0,insufficient matching contexts
80,files,1,24,45,0,insufficient matching contexts
81,,0,0,32,0,only 32 contexts
82,look,1,24,45,0,insufficient matching contexts
83,,0,0,38,0,only 38 contexts
84,,0,0,43,0,only 43 contexts
85,seed,12,24,45,0,insufficient matching contexts
86,,0,0,42,0,only 42 contexts
87,february,1,24,45,0,insufficient matching contexts
88,can,2,24,45,0,insufficient matching contexts
89,ann,24,24,45,1,
90,as,3,24,45,0,insufficient matching contexts
91,of,2,24,45,0,insufficient matching contexts
92,perhaps,2,24,45,0,insufficient matching contexts
93,,0,0,39,0,only 39 contexts
94,,0,0,40,0,only 40 contexts
95,in,2,24,45,0,insufficient matching contexts
96,,0,0,39,0,only 39 contexts
97,,0,0,38,0,only 38 contexts
98,c,1,24,45,0,insufficient matching contexts
99,the,24,24,45,1,
100,,0,0,41,0,only 41 contexts
101,,0,0,42,0,only 42 contexts
102,,0,0,31,0,only 31 contexts
103,involvement,1,24,45,0,insufficient matching contexts
104,,0,24,45,0,insufficient matching contexts
105,btn,1,24,45,0,insufficient matching contexts
106,,0,0,41,0,only 41 contexts
