Total tokens with passing features: 3145
Total passing features: 5349

Token                | #Features | Feature IDs
----------------------------------------------
the                  |       151 | 56, 99, 727, 1059, 1467, 1656, 1982, 2001, 2340, 2424, 2460, 3065, 3113, 3422, 3570, 4100, 4148, 4302, 4644, 4773, 4921, 5881, 6391, 6815, 6859, 6949, 8222, 8269, 8534, 8634, 8749, 8970, 9332, 10385, 10544, 10975, 11614, 12385, 12445, 12688, 13027, 13109, 13859, 13909, 14128, 15016, 15184, 15192, 15347, 15703, 15874, 17662, 17765, 17881, 18219, 19614, 20658, 21223, 22370, 23030, 23234, 24284, 24508, 24619, 25538, 25607, 26288, 26414, 26527, 27424, 27452, 28191, 28357, 28757, 28775, 28914, 29641, 29921, 30690, 32046, 32068, 32298, 32600, 32739, 33624, 35661, 36375, 36590, 36600, 37005, 37177, 37289, 37589, 37863, 38030, 38575, 38839, 39487, 39888, 40140, 40229, 40563, 40896, 41157, 42415, 42554, 43628, 43924, 44172, 44210, 44735, 45320, 45568, 46189, 46640, 47829, 47950, 48590, 48650, 49675, 50079, 50184, 51053, 51111, 51148, 51766, 52122, 53607, 53704, 53937, 56855, 57063, 57451, 57872, 57896, 57964, 58060, 58642, 59210, 59282, 59449, 60075, 60488, 60801, 61574, 61793, 61916, 61940, 62131, 62641, 63760
of                   |       141 | 182, 522, 1464, 1915, 2255, 2542, 2695, 2730, 3209, 4215, 4240, 4378, 4901, 5902, 6586, 6879, 7427, 7457, 8396, 8999, 9051, 9071, 9372, 11316, 11535, 12098, 12537, 13161, 13164, 13451, 13477, 13680, 13815, 13895, 15173, 15339, 15713, 17167, 17446, 17750, 18507, 19329, 20183, 20858, 21371, 21638, 21782, 21834, 22020, 23779, 23834, 24319, 25350, 25676, 26338, 27245, 27632, 28009, 28611, 30454, 30593, 30886, 31343, 32006, 32165, 33461, 33750, 33992, 34535, 34695, 35295, 35498, 35671, 35690, 36316, 36466, 36488, 37213, 37782, 38487, 38659, 39879, 39971, 40261, 40415, 41100, 42116, 42188, 42496, 42502, 42743, 43154, 43157, 43360, 43534, 43574, 43953, 44703, 45398, 45712, 46352, 46395, 46463, 46527, 47343, 48932, 49844, 50058, 51893, 53656, 54231, 54478, 54626, 54876, 54999, 55142, 55491, 55692, 57212, 57770, 57783, 58918, 59260, 60111, 60276, 60410, 61199, 61429, 61571, 61698, 61875, 61921, 62365, 62610, 62921, 63409, 63928, 64160, 64345, 64828, 64996
to                   |       117 | 295, 492, 674, 997, 2042, 2777, 4095, 4331, 4776, 5944, 7562, 7695, 7855, 8588, 8701, 8845, 9061, 9870, 9942, 10574, 12718, 13156, 13984, 14788, 16360, 16407, 17391, 17481, 18577, 19154, 19335, 19349, 20851, 21548, 22609, 22742, 23490, 23640, 24118, 24448, 24784, 24841, 26125, 26847, 27052, 27302, 27873, 28165, 28542, 28714, 29084, 29216, 29727, 30172, 31380, 31539, 31603, 31638, 32916, 33248, 33417, 34227, 35318, 35850, 35880, 36706, 36717, 37798, 38454, 38482, 39289, 39500, 39837, 40663, 40886, 42862, 43239, 43381, 43661, 44087, 44255, 45204, 45286, 45319, 45564, 46087, 46399, 47060, 47179, 48259, 48974, 49057, 49416, 49533, 50376, 50499, 51121, 51799, 52853, 54152, 54377, 54962, 55954, 56407, 57465, 59293, 59482, 60419, 61103, 62223, 62657, 63221, 63590, 64471, 64892, 65400, 65419
and                  |        96 | 1137, 3137, 3662, 5516, 5899, 6405, 6755, 6970, 7437, 8407, 8462, 10680, 11559, 11922, 13794, 14393, 15664, 15761, 15983, 16055, 16183, 16356, 17694, 18698, 19126, 19131, 19170, 19274, 20293, 20980, 21479, 21663, 21790, 22259, 22776, 23424, 23479, 24149, 24666, 25306, 25741, 26186, 26286, 29632, 30310, 30403, 31272, 31665, 32371, 35154, 37275, 37775, 38214, 38678, 38815, 39456, 40279, 40968, 42120, 42375, 43388, 43392, 44720, 46631, 47765, 49226, 50931, 51200, 51252, 51548, 53131, 53588, 54284, 54557, 54598, 54694, 54937, 55327, 55975, 56091, 56401, 58196, 58287, 58702, 60189, 60398, 60816, 61161, 61470, 61963, 62014, 62892, 63092, 64069, 65222, 65411
in                   |        55 | 664, 819, 3402, 3586, 5617, 5773, 7593, 9329, 9954, 13906, 15391, 16583, 17851, 18586, 20745, 21077, 24216, 24248, 24524, 25485, 27015, 27069, 28681, 28908, 29725, 32501, 32688, 32690, 33041, 33217, 34934, 35363, 36513, 36692, 38332, 39012, 40423, 40938, 41384, 45207, 46246, 48728, 49433, 50817, 52849, 55528, 56711, 56824, 58145, 58272, 58947, 60753, 61443, 62094, 63724
a                    |        42 | 459, 3572, 4439, 4985, 5719, 7099, 7449, 9218, 10256, 10617, 10947, 11141, 18594, 18675, 22660, 27277, 27871, 28777, 28961, 29012, 29515, 30903, 31411, 31490, 33097, 34345, 36107, 40713, 40838, 41680, 44880, 46464, 46563, 50562, 50593, 51523, 54263, 58222, 58424, 59418, 60068, 64638
if                   |        41 | 4043, 4933, 6251, 8559, 9624, 15019, 15092, 17771, 17942, 17999, 18665, 20126, 20911, 21108, 21484, 21609, 21791, 25919, 26639, 27682, 28290, 31480, 32967, 33427, 39698, 40272, 43769, 44892, 45601, 45827, 46178, 49407, 51947, 52027, 52550, 54414, 55042, 58507, 59753, 64157, 64564
for                  |        39 | 1267, 3476, 4749, 5581, 6043, 7156, 9314, 10224, 13091, 13278, 13453, 13863, 15584, 17758, 19699, 22988, 23098, 25824, 25918, 28077, 34244, 34348, 36133, 37997, 39274, 41758, 42287, 44608, 44864, 45435, 46794, 47162, 49532, 52182, 52772, 53194, 62287, 62706, 64142
with                 |        30 | 988, 1763, 3269, 4256, 14493, 14680, 14919, 16105, 19791, 24114, 24453, 25508, 29473, 30829, 33667, 36235, 36677, 37991, 38934, 43871, 49894, 51325, 52115, 55927, 56535, 60230, 60628, 61264, 61600, 63205
